Order_ID,Platform,Order_Date,Order_Time,City,Zone,Restaurant_Name,Cuisine,Order_Value_INR,Distance_km,Prep_Time_min,Expected_Time_min,Delivery_Time_min,Delay_min,Delivery_Status,Traffic_Level,Weather,Rider_Availability,Customer_Rating,Cancellation,Payment_Method
OD0000017,Zomato,30-05-2025,21:05,Jaipur,Vaishali Nagar,Jaipur Cafe,Burger,314,3.44,13,40,35,-5,On-time,High,Clear,Medium,4.9,No,UPI
OD0000018,Zomato,05-11-2025,11:30,Hyderabad,Hitech City,Hyderabad Kitchen,Healthy,472,3.5,14,34,33,-1,On-time,Medium,Clear,High,4.1,No,UPI
OD0000019,Zomato,15-09-2025,14:10,Hyderabad,Kukatpally,Hyderabad Bites,Chinese,214,3.18,16,29,31,2,On-time,Low,Clear,High,4.2,No,UPI
OD0000020,Zomato,10-12-2025,13:50,Delhi NCR,East Delhi,Delhi Treats,Desserts,213,4,6,32,36,4,On-time,Medium,Rainy,High,4.3,No,UPI
OD0000021,Zomato,21-10-2025,12:45,Ahmedabad,Bopal,Ahmedabad Bites,Desserts,301,3.66,12,40,41,1,On-time,High,Clear,Medium,3.9,No,UPI
OD0000022,Swiggy,11-07-2025,20:10,Mumbai,Navi Mumbai,Mumbai Tandoor,Cafe,445,6.07,13,48,66,18,Late,Medium,Clear,Medium,3.1,No,Card
OD0000023,Swiggy,04-10-2025,21:50,Jaipur,Vaishali Nagar,Jaipur Tandoor,North Indian,323,4.27,18,53,58,5,On-time,Medium,Rainy,Medium,3.9,No,UPI
OD0000024,Zomato,10-06-2025,20:50,Jaipur,Tonk Road,Jaipur Kitchen,Pizza,437,4.71,22,49,53,4,On-time,Low,Rainy,High,3.7,No,UPI
OD0000025,Zomato,10-11-2025,12:15,Lucknow,Charbagh,Lucknow Wok,Healthy,402,5.38,8,38,37,-1,On-time,Medium,Clear,Medium,4.5,No,Card
OD0000026,Swiggy,22-01-2025,21:30,Hyderabad,Madhapur,Hyderabad Spice Hub,Chinese,306,5.38,11,46,51,5,On-time,High,Clear,High,4.5,No,Card
OD0000027,Swiggy,10-09-2025,13:45,Kolkata,Salt Lake,Kolkata Cafe,Pizza,293,2.66,21,56,54,-2,On-time,High,Rainy,Medium,5,No,UPI
OD0000028,Zomato,24-08-2025,18:15,Pune,Wakad,Pune Express,North Indian,311,4.27,23,47,47,0,On-time,Low,Clear,Low,4.6,No,UPI
OD0000029,Swiggy,11-12-2025,22:50,Delhi NCR,Gurgaon,Delhi Cafe,Cafe,121,5.27,16,48,61,13,Late,Medium,Clear,Medium,3.8,No,Cash
OD0000030,Swiggy,18-02-2025,21:10,Chennai,Adyar,Chennai Spice Hub,Biryani,289,3.04,20,39,32,-7,On-time,Medium,Clear,High,4.8,No,Card
OD0000031,Swiggy,28-02-2025,14:55,Delhi NCR,Noida,Delhi Tandoor,Pizza,513,2.81,21,44,46,2,On-time,Medium,Clear,Low,4.3,No,UPI
OD0000032,Swiggy,19-06-2025,22:25,Hyderabad,Banjara Hills,Hyderabad Tandoor,Chinese,302,2.45,19,36,37,1,On-time,Medium,Cloudy,High,4.8,No,UPI
OD0000033,Swiggy,07-07-2025,13:40,Delhi NCR,East Delhi,Delhi Cafe,South Indian,281,5.2,18,50,57,7,Late,Medium,Clear,Medium,4.2,No,UPI
OD0000034,Swiggy,28-09-2025,19:05,Mumbai,Andheri,Mumbai Tandoor,Desserts,198,4.21,8,35,58,23,Late,High,Clear,High,3.4,No,Card
OD0000035,Zomato,09-07-2025,13:50,Bengaluru,Malleshwaram,Bengaluru Delight,Pizza,269,4.5,18,54,62,8,Late,High,Clear,Medium,3.9,No,UPI
OD0000036,Swiggy,24-06-2025,12:30,Bengaluru,Koramangala,Bengaluru Express,Street Food,248,1.24,6,16,18,2,On-time,High,Clear,Medium,4.3,No,UPI
OD0000037,Swiggy,20-02-2025,15:40,Chennai,Anna Nagar,Chennai Express,Chinese,386,4.94,18,48,51,3,On-time,Medium,Clear,Medium,4.4,No,Card
OD0000038,Zomato,30-12-2025,12:50,Delhi NCR,South Delhi,Delhi Grill House,South Indian,289,5.04,18,53,69,16,Late,Low,Rainy,Low,3.6,No,UPI
OD0000039,Swiggy,24-02-2025,21:50,Hyderabad,Madhapur,Hyderabad Tandoor,Street Food,173,5.33,14,46,49,3,On-time,Medium,Clear,Medium,4.1,No,UPI
OD0000040,Zomato,01-09-2025,14:30,Mumbai,Navi Mumbai,Mumbai Delight,Burger,293,7.68,11,54,61,7,Late,Medium,Cloudy,High,3.8,No,UPI
OD0000041,Zomato,16-11-2025,12:55,Chennai,Adyar,Chennai Kitchen,Street Food,357,3.28,11,39,49,10,Late,High,Clear,Low,3.9,No,UPI
OD0000042,Zomato,11-05-2025,16:40,Chennai,Tambaram,Chennai Tandoor,Burger,275,5.78,14,53,50,-3,On-time,High,Clear,High,4.5,No,UPI
OD0000043,Swiggy,03-11-2025,19:50,Chennai,T Nagar,Chennai Spice Hub,Chinese,192,5.47,14,46,50,4,On-time,Medium,Clear,Medium,4.3,No,UPI
OD0000044,Swiggy,15-05-2025,13:10,Pune,Viman Nagar,Pune Tandoor,Cafe,328,5.71,16,50,52,2,On-time,Medium,Clear,Medium,4,No,Card
OD0000045,Zomato,21-01-2025,13:40,Bengaluru,Whitefield,Bengaluru Express,North Indian,99,4.18,18,56,55,-1,On-time,Medium,Rainy,Low,4.5,No,UPI
OD0000046,Swiggy,25-11-2025,08:45,Pune,Kothrud,Pune Tandoor,Chinese,315,6.33,15,52,50,-2,On-time,Medium,Clear,Medium,4.4,No,Card
OD0000047,Zomato,16-06-2025,12:05,Bengaluru,Electronic City,Bengaluru Cafe,North Indian,187,3.34,21,40,49,9,Late,Low,Clear,Low,4.7,No,Card
OD0000048,Swiggy,01-10-2025,17:15,Hyderabad,Madhapur,Hyderabad Express,Desserts,168,3.86,12,49,34,-15,On-time,High,Rainy,Medium,4.1,No,UPI
OD0000049,Swiggy,30-03-2025,12:05,Kolkata,Ballygunge,Kolkata Express,South Indian,388,4.43,14,40,51,11,Late,Medium,Cloudy,High,4.1,No,Card
OD0000050,Swiggy,12-11-2025,19:40,Delhi NCR,South Delhi,Delhi Grill House,Biryani,287,4.34,17,59,51,-8,On-time,High,Foggy,Medium,4.4,No,Wallet
OD0000051,Swiggy,14-01-2025,20:50,Kolkata,Garia,Kolkata Wok,Biryani,302,5.55,20,46,45,-1,On-time,Low,Clear,Medium,4.6,No,UPI
OD0000052,Zomato,30-08-2025,20:20,Chennai,Anna Nagar,Chennai Kitchen,Healthy,327,5.32,12,41,53,12,Late,Low,Rainy,High,3.6,No,Cash
OD0000053,Swiggy,22-09-2025,22:15,Bengaluru,Koramangala,Bengaluru Grill House,Biryani,480,5.34,20,50,36,-14,On-time,Medium,Clear,High,4.2,Yes,UPI
OD0000054,Swiggy,12-12-2025,14:55,Delhi NCR,East Delhi,Delhi Tandoor,Chinese,332,7.44,13,65,58,-7,On-time,High,Clear,Medium,4.2,No,UPI
OD0000055,Zomato,22-02-2025,14:35,Delhi NCR,Gurgaon,Delhi Kitchen,Street Food,218,4.38,10,38,44,6,Late,Medium,Clear,Low,3.9,No,UPI
OD0000056,Swiggy,06-12-2025,22:05,Jaipur,Jagatpura,Jaipur Spice Hub,Chinese,242,6.91,12,63,53,-10,On-time,High,Cloudy,Medium,4.3,No,Card
OD0000057,Swiggy,02-04-2025,12:25,Kolkata,Garia,Kolkata Delight,Pizza,252,2.67,22,42,56,14,Late,Medium,Clear,Medium,3.6,No,UPI
OD0000058,Zomato,21-09-2025,13:45,Delhi NCR,South Delhi,Delhi Delight,Burger,375,4.54,20,57,56,-1,On-time,High,Cloudy,High,4.5,No,Card
OD0000059,Swiggy,04-02-2025,12:55,Bengaluru,Whitefield,Bengaluru Delight,Desserts,209,4.67,12,32,58,26,Late,Low,Clear,High,3.3,Yes,Cash
OD0000060,Swiggy,25-07-2025,20:05,Chennai,Adyar,Chennai Kitchen,Pizza,350,2.18,24,44,46,2,On-time,Medium,Cloudy,Medium,4.3,No,UPI
OD0000061,Swiggy,22-03-2025,18:05,Ahmedabad,Satellite,Ahmedabad Express,Desserts,145,4.89,8,29,38,9,Late,Low,Clear,High,3.7,No,UPI
OD0000062,Zomato,19-02-2025,21:50,Delhi NCR,South Delhi,Delhi Cafe,Biryani,339,5.03,21,45,53,8,Late,Low,Clear,Medium,4,Yes,UPI
OD0000063,Zomato,26-12-2025,20:55,Mumbai,Navi Mumbai,Mumbai Treats,Pizza,511,5.99,16,49,63,14,Late,Medium,Clear,High,3.8,No,UPI
OD0000064,Zomato,02-01-2025,23:15,Jaipur,Malviya Nagar,Jaipur Cafe,Burger,220,5.76,16,59,56,-3,On-time,Medium,Rainy,Medium,4.8,No,Cash
OD0000065,Swiggy,23-02-2025,22:15,Delhi NCR,South Delhi,Delhi Treats,Cafe,235,2.25,16,35,35,0,On-time,High,Clear,High,4.3,No,UPI
OD0000066,Swiggy,16-04-2025,15:25,Mumbai,Andheri,Mumbai Spice Hub,Burger,299,7.19,12,50,47,-3,On-time,Medium,Clear,High,4.3,No,UPI
OD0000067,Swiggy,17-09-2025,15:55,Lucknow,Gomti Nagar,Lucknow Treats,Street Food,110,3.88,12,35,24,-11,On-time,Medium,Clear,Medium,4.7,No,UPI
OD0000068,Zomato,06-11-2025,12:00,Chennai,Adyar,Chennai Grill House,North Indian,230,3.59,14,40,55,15,Late,High,Clear,High,3.8,No,Cash
OD0000069,Zomato,10-07-2025,14:05,Mumbai,Andheri,Mumbai Spice Hub,Desserts,99,5.78,9,46,44,-2,On-time,High,Clear,High,4.2,No,UPI
OD0000070,Swiggy,06-08-2025,13:40,Delhi NCR,Noida,Delhi Tandoor,Chinese,430,6.5,14,63,60,-3,On-time,High,Cloudy,Medium,4.1,No,Wallet
OD0000071,Swiggy,13-02-2025,15:10,Delhi NCR,Noida,Delhi Bites,Burger,126,3.86,14,38,51,13,Late,Medium,Clear,Medium,3.8,No,Card
OD0000072,Swiggy,11-06-2025,13:05,Mumbai,Andheri,Mumbai Spice Hub,South Indian,415,4.71,18,45,49,4,On-time,Medium,Clear,High,4.3,No,Cash
OD0000073,Swiggy,21-07-2025,12:00,Jaipur,Tonk Road,Jaipur Kitchen,Desserts,284,6.62,7,46,41,-5,On-time,Medium,Cloudy,Medium,4.4,No,UPI
OD0000074,Swiggy,27-09-2025,19:05,Bengaluru,Electronic City,Bengaluru Express,North Indian,340,2.94,14,31,29,-2,On-time,Low,Rainy,High,4.6,No,UPI
OD0000075,Swiggy,17-12-2025,15:10,Pune,Kothrud,Pune Bites,South Indian,285,0.8,16,27,22,-5,On-time,Medium,Rainy,High,4.7,No,UPI
OD0000076,Swiggy,31-10-2025,15:15,Jaipur,Malviya Nagar,Jaipur Kitchen,Cafe,308,5.88,13,47,42,-5,On-time,Medium,Clear,Medium,4.3,No,UPI
OD0000077,Zomato,28-09-2025,09:10,Bengaluru,Koramangala,Bengaluru Cafe,Cafe,99,6.63,13,51,45,-6,On-time,Medium,Clear,Medium,3.9,No,Card
OD0000078,Swiggy,03-08-2025,15:20,Mumbai,Andheri,Mumbai Grill House,Desserts,192,1.61,6,18,19,1,On-time,Medium,Rainy,High,4.4,Yes,UPI
OD0000079,Swiggy,09-09-2025,22:20,Hyderabad,Kukatpally,Hyderabad Cafe,South Indian,385,4.76,12,38,32,-6,On-time,Low,Cloudy,Low,4.7,No,UPI
OD0000080,Zomato,09-07-2025,15:10,Jaipur,C Scheme,Jaipur Cafe,Pizza,409,3.8,21,50,42,-8,On-time,Medium,Clear,Low,4.2,No,UPI
OD0000081,Zomato,23-10-2025,13:00,Ahmedabad,Navrangpura,Ahmedabad Treats,Biryani,334,5.06,17,53,53,0,On-time,Medium,Rainy,High,4.4,No,UPI
OD0000082,Zomato,01-08-2025,19:55,Delhi NCR,South Delhi,Delhi Bites,South Indian,448,0.8,12,18,20,2,On-time,Medium,Clear,High,3.9,No,UPI
OD0000083,Swiggy,27-07-2025,12:45,Kolkata,Park Street,Kolkata Delight,South Indian,269,2.27,21,44,55,11,Late,Medium,Foggy,Medium,3.9,No,UPI
OD0000084,Zomato,25-08-2025,20:00,Chennai,Anna Nagar,Chennai Spice Hub,Street Food,315,5.7,9,41,39,-2,On-time,Low,Rainy,Medium,4.5,No,Card
OD0000085,Zomato,04-12-2025,10:10,Jaipur,Mansarovar,Jaipur Tandoor,Healthy,386,4.53,8,40,43,3,On-time,High,Clear,Medium,4.2,No,UPI
OD0000086,Swiggy,22-02-2025,12:50,Delhi NCR,Noida,Delhi Treats,Pizza,437,7.81,16,61,48,-13,On-time,Low,Rainy,Medium,5,No,Card
OD0000087,Zomato,07-10-2025,20:05,Hyderabad,Hitech City,Hyderabad Wok,Healthy,202,5.98,16,51,40,-11,On-time,Medium,Clear,Medium,4.2,No,UPI
OD0000088,Swiggy,05-08-2025,15:45,Jaipur,Tonk Road,Jaipur Treats,South Indian,297,2.87,14,43,43,0,On-time,High,Cloudy,Low,4.1,No,UPI
OD0000089,Zomato,09-09-2025,19:30,Bengaluru,Malleshwaram,Bengaluru Express,South Indian,423,6.24,15,47,51,4,On-time,Low,Clear,Low,4.4,No,Cash
OD0000090,Swiggy,07-07-2025,21:20,Hyderabad,Secunderabad,Hyderabad Wok,Chinese,498,8.22,16,70,84,14,Late,Medium,Rainy,High,3.2,No,Card
OD0000091,Zomato,10-02-2025,14:15,Delhi NCR,Noida,Delhi Spice Hub,Street Food,279,4.66,6,32,36,4,On-time,Medium,Clear,Medium,4.7,No,UPI
OD0000092,Zomato,06-06-2025,13:50,Mumbai,Andheri,Mumbai Grill House,Healthy,239,5.61,7,38,41,3,On-time,Low,Rainy,Medium,4.2,No,Card
OD0000093,Zomato,15-01-2025,22:25,Bengaluru,Electronic City,Bengaluru Tandoor,Healthy,336,6.45,13,50,60,10,Late,Medium,Clear,Medium,3.8,No,UPI
OD0000094,Swiggy,28-10-2025,10:00,Lucknow,Indira Nagar,Lucknow Tandoor,Chinese,190,4.47,13,45,40,-5,On-time,Medium,Cloudy,Low,4.3,No,Cash
OD0000095,Swiggy,06-03-2025,19:05,Mumbai,Andheri,Mumbai Cafe,North Indian,302,0.8,25,28,26,-2,On-time,Low,Clear,High,4.1,No,Card
OD0000096,Zomato,11-12-2025,21:10,Hyderabad,Hitech City,Hyderabad Cafe,Desserts,274,5.91,6,40,41,1,On-time,Medium,Cloudy,Medium,4.2,No,UPI
OD0000097,Swiggy,23-11-2025,10:15,Kolkata,Park Street,Kolkata Treats,Biryani,397,6.4,18,51,54,3,On-time,Low,Clear,Low,4,Yes,Cash
OD0000098,Zomato,09-01-2025,13:35,Mumbai,Andheri,Mumbai Kitchen,Chinese,208,7.73,18,80,81,1,On-time,High,Rainy,High,4,No,UPI
OD0000099,Swiggy,10-12-2025,21:45,Hyderabad,Banjara Hills,Hyderabad Spice Hub,Pizza,429,2.6,20,44,44,0,On-time,Medium,Cloudy,Low,4.4,No,Card
OD0000100,Swiggy,09-05-2025,08:50,Pune,Hinjewadi,Pune Treats,Burger,230,2.69,18,33,34,1,On-time,Low,Cloudy,Medium,4.4,No,Wallet
OD0000101,Swiggy,16-05-2025,21:50,Ahmedabad,Maninagar,Ahmedabad Treats,North Indian,334,3.42,19,46,67,21,Late,High,Clear,High,3,No,UPI
OD0000102,Swiggy,04-03-2025,13:20,Chennai,T Nagar,Chennai Bites,Cafe,272,4.46,16,41,53,12,Late,Medium,Clear,High,3.6,No,UPI
OD0000103,Swiggy,19-05-2025,12:55,Kolkata,Howrah,Kolkata Cafe,Burger,122,5.88,19,52,52,0,On-time,Low,Rainy,High,4.4,No,Card
OD0000104,Swiggy,22-03-2025,21:20,Delhi NCR,Central Delhi,Delhi Tandoor,Chinese,402,2.56,16,27,22,-5,On-time,Low,Clear,High,4.3,No,UPI
OD0000105,Swiggy,12-06-2025,21:15,Lucknow,Hazratganj,Lucknow Kitchen,North Indian,485,6.7,12,59,67,8,Late,Medium,Rainy,Medium,4,No,Cash
OD0000106,Swiggy,16-10-2025,21:40,Delhi NCR,South Delhi,Delhi Treats,Cafe,330,6.6,17,51,50,-1,On-time,Low,Clear,Low,4.3,No,UPI
OD0000107,Swiggy,18-09-2025,19:05,Pune,Kothrud,Pune Kitchen,South Indian,159,6.65,19,47,47,0,On-time,Low,Clear,High,4,No,Card
OD0000108,Swiggy,19-08-2025,21:00,Mumbai,Bandra,Mumbai Spice Hub,Street Food,255,4.18,13,43,43,0,On-time,Medium,Rainy,High,4.2,No,UPI
OD0000109,Swiggy,10-02-2025,13:50,Jaipur,Malviya Nagar,Jaipur Tandoor,Burger,136,0.8,18,35,43,8,Late,High,Rainy,High,4.5,Yes,UPI
OD0000110,Swiggy,28-01-2025,13:55,Kolkata,Salt Lake,Kolkata Express,Burger,421,8,14,64,61,-3,On-time,Medium,Clear,Low,4.4,No,Cash
OD0000111,Swiggy,15-05-2025,15:40,Pune,Baner,Pune Treats,Chinese,467,3.61,15,38,33,-5,On-time,Medium,Clear,Medium,4.1,No,Card
OD0000112,Zomato,20-07-2025,12:55,Mumbai,Thane,Mumbai Cafe,Burger,219,6.24,17,70,80,10,Late,High,Rainy,High,3.8,Yes,UPI
OD0000113,Zomato,24-11-2025,09:25,Hyderabad,Hitech City,Hyderabad Treats,South Indian,180,5.04,17,44,43,-1,On-time,Low,Clear,Low,4.4,No,UPI
OD0000114,Zomato,25-09-2025,20:30,Chennai,Anna Nagar,Chennai Express,Healthy,392,7.06,11,46,47,1,On-time,Low,Clear,Low,4.6,No,Card
OD0000115,Zomato,02-02-2025,14:25,Pune,Viman Nagar,Pune Express,North Indian,377,4.7,23,66,64,-2,On-time,High,Cloudy,Medium,4.2,No,Cash
OD0000116,Zomato,17-02-2025,09:25,Delhi NCR,Noida,Delhi Tandoor,Burger,289,4.94,18,46,43,-3,On-time,Medium,Clear,High,4.2,No,Card
OD0000117,Swiggy,03-03-2025,13:50,Lucknow,Mahanagar,Lucknow Kitchen,North Indian,393,5.16,16,38,34,-4,On-time,Low,Clear,High,4.6,No,Card
OD0000118,Swiggy,04-08-2025,15:45,Jaipur,Mansarovar,Jaipur Grill House,Cafe,248,5.64,9,39,48,9,Late,Medium,Clear,High,3.6,No,UPI
OD0000119,Swiggy,20-10-2025,20:10,Mumbai,South Mumbai,Mumbai Spice Hub,Cafe,139,2.33,10,32,26,-6,On-time,High,Rainy,High,4.5,No,Cash
OD0000120,Zomato,09-04-2025,13:30,Ahmedabad,Vastrapur,Ahmedabad Kitchen,Burger,337,8.55,12,57,64,7,Late,Low,Rainy,High,3.8,No,Card
OD0000121,Swiggy,21-06-2025,14:30,Hyderabad,Banjara Hills,Hyderabad Kitchen,Burger,365,4.66,13,44,44,0,On-time,Medium,Clear,Low,4.3,No,UPI
OD0000122,Swiggy,26-12-2025,20:20,Hyderabad,Madhapur,Hyderabad Delight,Cafe,131,5.95,14,39,50,11,Late,Low,Clear,High,3.6,No,UPI
OD0000123,Swiggy,02-08-2025,12:30,Bengaluru,Electronic City,Bengaluru Spice Hub,Pizza,469,7.83,29,80,100,20,Late,Medium,Cloudy,Medium,2.9,Yes,UPI
OD0000124,Zomato,04-02-2025,23:15,Chennai,T Nagar,Chennai Spice Hub,Cafe,432,4.78,16,43,46,3,On-time,Medium,Clear,High,4.2,No,Cash
OD0000125,Swiggy,15-08-2025,15:25,Pune,Viman Nagar,Pune Bites,Pizza,434,2.81,24,42,47,5,On-time,Low,Rainy,High,4.2,No,Card
OD0000126,Swiggy,11-04-2025,13:15,Bengaluru,Koramangala,Bengaluru Delight,Biryani,400,2.74,22,42,38,-4,On-time,Medium,Clear,Medium,4.3,No,Cash
OD0000127,Swiggy,11-05-2025,13:30,Chennai,Velachery,Chennai Express,South Indian,231,3.9,17,39,34,-5,On-time,Medium,Clear,High,4.2,No,UPI
OD0000128,Swiggy,14-09-2025,12:20,Kolkata,Garia,Kolkata Treats,South Indian,357,5.47,18,49,49,0,On-time,Low,Cloudy,Low,4.8,No,Card
OD0000129,Swiggy,05-01-2025,15:50,Kolkata,Garia,Kolkata Kitchen,North Indian,334,5.68,22,54,60,6,Late,Medium,Clear,High,4.3,No,Cash
OD0000130,Swiggy,06-08-2025,18:00,Delhi NCR,West Delhi,Delhi Bites,Street Food,193,7.06,14,52,70,18,Late,Medium,Clear,High,3.4,No,UPI
OD0000131,Swiggy,12-09-2025,14:10,Ahmedabad,Maninagar,Ahmedabad Bites,Chinese,300,1.73,19,33,39,6,Late,Medium,Clear,Medium,4.3,No,UPI
OD0000132,Swiggy,25-12-2025,21:00,Hyderabad,Banjara Hills,Hyderabad Grill House,North Indian,255,5.24,16,60,59,-1,On-time,High,Clear,Low,3.9,No,Card
OD0000133,Swiggy,10-10-2025,15:25,Mumbai,Powai,Mumbai Grill House,Burger,222,6.03,9,54,60,6,Late,Medium,Rainy,Low,4.4,No,Cash
OD0000134,Zomato,26-07-2025,21:30,Mumbai,Bandra,Mumbai Cafe,Desserts,282,5.96,14,43,45,2,On-time,Low,Cloudy,Medium,4.5,No,UPI
OD0000135,Zomato,15-01-2025,19:30,Hyderabad,Hitech City,Hyderabad Delight,Cafe,222,0.8,15,25,26,1,On-time,Medium,Clear,Low,4.6,No,UPI
OD0000136,Zomato,12-12-2025,14:20,Jaipur,Malviya Nagar,Jaipur Grill House,Desserts,241,4.06,8,34,27,-7,On-time,Medium,Clear,Low,4.3,No,UPI
OD0000137,Zomato,11-02-2025,15:00,Bengaluru,Malleshwaram,Bengaluru Cafe,Biryani,293,6.43,29,77,73,-4,On-time,High,Clear,High,4.2,No,UPI
OD0000138,Zomato,28-06-2025,20:25,Pune,Hadapsar,Pune Delight,Biryani,273,3.18,19,39,32,-7,On-time,Low,Cloudy,Low,4.2,No,UPI
OD0000139,Zomato,04-03-2025,14:45,Delhi NCR,South Delhi,Delhi Grill House,Healthy,311,2.43,12,29,21,-8,On-time,Medium,Cloudy,Medium,4.7,No,UPI
OD0000140,Swiggy,18-12-2025,12:55,Hyderabad,Banjara Hills,Hyderabad Grill House,Biryani,415,5.93,21,68,62,-6,On-time,Medium,Rainy,Medium,4.3,No,Cash
OD0000141,Zomato,19-08-2025,17:50,Lucknow,Aliganj,Lucknow Grill House,North Indian,150,5.4,16,53,58,5,On-time,High,Clear,High,3.8,No,Card
OD0000142,Zomato,29-08-2025,15:55,Pune,Hinjewadi,Pune Cafe,Cafe,274,5.26,11,41,43,2,On-time,Medium,Clear,Medium,3.9,No,UPI
OD0000143,Swiggy,21-02-2025,13:15,Mumbai,Andheri,Mumbai Spice Hub,Chinese,317,3.51,15,46,46,0,On-time,High,Cloudy,Medium,4.3,No,Cash
OD0000144,Swiggy,06-04-2025,15:50,Hyderabad,Banjara Hills,Hyderabad Treats,North Indian,298,2.17,16,31,25,-6,On-time,Low,Rainy,Medium,4.4,No,Card
OD0000145,Swiggy,10-08-2025,20:45,Mumbai,Andheri,Mumbai Delight,Cafe,383,6.7,15,51,49,-2,On-time,Medium,Clear,High,4.6,No,UPI
OD0000146,Swiggy,19-08-2025,22:40,Bengaluru,Malleshwaram,Bengaluru Treats,Street Food,408,11.47,14,62,83,21,Late,Low,Clear,High,3.1,Yes,UPI
OD0000147,Zomato,25-08-2025,21:20,Pune,Hinjewadi,Pune Kitchen,Street Food,303,1.56,9,23,37,14,Late,High,Clear,Medium,3.3,No,Card
OD0000148,Zomato,23-05-2025,14:35,Pune,Baner,Pune Grill House,Pizza,459,6.84,18,47,45,-2,On-time,Low,Clear,High,4.6,No,Card
OD0000149,Zomato,20-06-2025,13:40,Mumbai,Navi Mumbai,Mumbai Spice Hub,Cafe,263,4.46,14,41,41,0,On-time,Medium,Clear,Medium,4.8,No,UPI
OD0000150,Zomato,29-01-2025,20:50,Jaipur,Malviya Nagar,Jaipur Spice Hub,Chinese,469,5.43,18,48,65,17,Late,Low,Rainy,High,3.8,No,UPI
OD0000151,Zomato,05-02-2025,14:05,Chennai,Tambaram,Chennai Bites,Burger,253,4.68,14,55,61,6,Late,High,Rainy,High,3.8,No,Cash
OD0000152,Swiggy,13-01-2025,20:50,Bengaluru,Indiranagar,Bengaluru Bites,Desserts,185,9.19,11,62,83,21,Late,Medium,Clear,Medium,2.9,No,UPI
OD0000153,Zomato,09-06-2025,13:10,Hyderabad,Gachibowli,Hyderabad Tandoor,Pizza,436,3.2,22,54,50,-4,On-time,High,Cloudy,Medium,4.5,No,Card
OD0000154,Zomato,23-11-2025,13:35,Chennai,OMR,Chennai Spice Hub,Healthy,421,3.6,15,30,33,3,On-time,Low,Clear,High,4.5,No,Card
